bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
16630,507507.32421875,2.3371718013671337e-40,-397.91177209307375,noise,,0,0
16631,507537.841796875,1.0627382329239168e-11,-111.33441542114429,noise,,0,0
16632,507568.359375,1.5175482194182042e-39,-389.7872534761246,noise,,0,0
16633,507598.876953125,4.4660622804920576e-11,-105.0994307195647,noise,,0,0
16634,507629.39453125,3.7464735922153855e-37,-365.8624517136105,noise,,0,0
16635,507659.912109375,5.853878069140582e-12,-113.9242417485248,noise,,0,0
16636,507690.4296875,3.950371275411858e-40,-395.6322993240656,noise,,0,0
16637,507720.947265625,1.5726684433586266e-11,-109.63230674626529,noise,,0,0
16638,507751.46484375,4.156753126594588e-39,-385.41113614970635,noise,,0,0
16639,507781.982421875,2.5180355291195185e-11,-107.58805993444751,noise,,0,0
16640,507812.5,2.1812770857966538e-38,-378.21157009946216,noise,,0,0
16641,507843.017578125,4.200250045324999e-11,-105.36592701915507,noise,,0,0
16642,507873.53515625,3.509235038721309e-39,-386.14655390076575,noise,,0,0
